avantages_inconvenients;avis_commentaire;avis_etat_emploi;avis_localisation;avis_note;fichier_source;id_avis_soc;nom_societe;note_moyenne
NULL NULL;Je travaille chez Adsearch à depuis moins d'un an;Stagiaire actuel - Chargée De Recrutement;Bordeaux, Aquitaine;4;13689-AVIS-SOC-GLASSDOOR-E2098670_P1.html;110;Adsearch;4.5
Avantages : La bonne humeur, l'entraide et la jeunesse d'esprit de tous les adsearchers. Inconvénients : Aucuns inconvénients probants. La marque se développe rapidement alors parfois l'organisation est un peu fouillis mais voilà tout.;Je travaille chez Adsearch à temps plein depuis moins d'un an;Employé actuel - Consultante;;5;13689-AVIS-SOC-GLASSDOOR-E2098670_P2.html;111;Adsearch;4.5
Avantages : Travailler dans une société où la simplicité et l'humain sont au coeur de la structure. Bienveillance en interne pour que être bienveillant avec nos candidats et intérimaires. Les salaires fixes ne sont pas énormes mais le variable est important et ACCESSIBLE ! La direction n'est qu'à un ou deux niveau au dessus de chaque employé ! Vous pouvez communiquer avec votre DG sans problème Inconvénients : Comme toutes sociétés de recrutement, très peu d'avantages. Mais des supérieurs attentifs aux bien être des salariés.;Je travaille chez Groupe Adéquat à temps plein depuis plus de 3 ans;Employé actuel - Consultant recrutement;Lyon;2;13691-AVIS-SOC-GLASSDOOR-E1130973_P1.html;112;Groupe Adéquat;3.9
Avantages : Groupe familiale dans lequel le travail, le respect des personnes et la prise en compte de l'évolution personnelle ne sont pas de vains mots. L'encadrement soutient ses collaborateurs dans les bons comme dans les mauvais moments. Les équipes ont la liberté de pouvoir proposer des projets et d'être entendu. Inconvénients : Il n'y a pas de CE.;Je travaille chez Groupe Adéquat à temps plein depuis plus de 10 ans;Employé actuel - chargée de compte;Poitiers;4;13691-AVIS-SOC-GLASSDOOR-E1130973_P2.html;113;Groupe Adéquat;3.9
Avantages : Des personnes habiles avec de fortes compétences en technologie « Vous la bâtissez, vous la gérez, vous faites son suivi » « pas de blâme, pas de pitié » Vous avez les outils dont vous avez besoin Possibilité de vous exprimer tout en renforçant votre expertise Pragmatisme, esprit d'entreprise et autonomie Inconvénients : Je n'ai pas trouvé grand chose à dire.;Je travaille chez Teads à temps plein depuis plus de 3 ans;Employé actuel - Ingénieur logiciel sénior;;4;13692-AVIS-SOC-GLASSDOOR-E929611_P1.html;114;Teads;3.6
Avantages : Très bonne ambiance de travail, esprit start-up malgré les nombreux effectifs. Inconvénients : Quelques difficultés de communication entre les 2 sites (Paris et Montpellier). L'idéal serait de regrouper les 2 bureaux en 1.;J'ai travaillé chez Teads à;;;1;13692-AVIS-SOC-GLASSDOOR-E929611_P2.html;115;Teads;3.6
Avantages : C'est un excellent lieu de travail, il n'y a pas trop de bureaucratie, et tout le monde souhaite faire avancer le produit. De nombreuses technologies adaptées (go, python, es6/react), des ingénieurs intelligents et sympathiques, de bons avantages en terme de bureaux, d'en-cas et de nourriture. Le PDG et le DT s'engagent vraiment pour leur entreprise et sont accessibles, ce qui est rare dans un entreprise de...cette taille. Très bonne culture d'entreprise également : personne n'est rendu coupable, des retours systématiques et une bonne responsabilité vis-à-vis des clients.Dérouler Inconvénients : Ce champ doit contenir 5 mots pour être valide, mais, vraiment, il n'y a rien à dire !;Je travaille chez Datadog à temps plein depuis moins d'un an;Employé actuel - ingénieur front-end;Paris;5;13693-AVIS-SOC-GLASSDOOR-E762009_P1.html;116;Datadog;3.7
Avantages : International Ambiance salaire carrière evolution Inconvénients : Horaires manque de dynamisme affaires;Je travaille chez LVMH à temps plein depuis plus d'un an;Employé actuel - Chef De Produits;;4;13699-AVIS-SOC-GLASSDOOR-E3489_P1.html;117;LVMH;3.7
Avantages : l'emplacement et la facilité pour integrer l'entreprise Inconvénients : salaire faible, aucune flexibilité, manque d'organisation, de transparence et de clareté;Je travaille chez LVMH à temps plein depuis moins d'un an;Employé actuel - Directeur général;;1;13699-AVIS-SOC-GLASSDOOR-E3489_P2.html;118;LVMH;3.7
Avantages : Profesionnalisant et formateur une très bonne expérience chez Céline Avec un véritable esprit d'équipe Inconvénients : Journée longues en vente;J'ai travaillé chez CELINE à temps plein moins d'un an;Ancien employé - CDD en vente;Cannes;4;13700-AVIS-SOC-GLASSDOOR-E1127781_P1.html;119;CELINE;3.0
NULL NULL;J'ai travaillé chez 2S2I Solutions & Services à moins d'un an;Ancien freelance - Consultant ITSM;Élancourt;4;13562-AVIS-SOC-GLASSDOOR-E1303620_P1.html;12;2S2I Solutions & Services;3.3
Avantages : Have chance to be involved in international projet with different stakeholders Good profits sharing. Employee discount Inconvénients : Stressfull work environement Less budget for IT;Je travaille chez CELINE à temps plein depuis moins d'un an;Ancien employé - IS Project Manager;;4;13700-AVIS-SOC-GLASSDOOR-E1127781_P2.html;120;CELINE;3.0
Avantages : J'ai eu l'occasion d'effectuer un stage de 6 mois au sein du Groupe Les Echos, qui a été pour moi très formateur. J'y ai retrouvé : - De la convivialité - De l'écoute - De l'intérêt pour les contenus produits par chaque service - Une reconnaissance de son travail Inconvénients : En tant que stagiaire nous ne gagnons pas énormément, seul petit désagrément.;J'ai travaillé chez Les Echos à moins d'un an;Ancien stagiaire - Digital Analyst;Paris;3;13701-AVIS-SOC-GLASSDOOR-E1132974_P1.html;121;Les Echos;3.8
Avantages : Equipes très sympathiques, missions interessantes Inconvénients : Missions répététives sur le long terme;Je travaille chez Les Echos à temps plein depuis plus de 3 ans;Employé actuel - Responsable commercial;Paris;3;13701-AVIS-SOC-GLASSDOOR-E1132974_P2.html;122;Les Echos;3.8
NULL NULL;J'ai travaillé chez Kendo à temps plein plus de 3 ans;Ancien employé - Responsable Informatique;Casablanca;3;13702-AVIS-SOC-GLASSDOOR-E1159854_P1.html;123;Kendo;2.8
Avantages : évolutions possibles, PEG, PERCO, Vacances, CE Inconvénients : organisation matricielle complexe, silo, lenteur administrative;Je travaille chez Sanofi à temps plein depuis plus de 3 ans;Employé actuel - Analyste commercial;São Paulo, São Paulo;3;13704-AVIS-SOC-GLASSDOOR-E9347_P1.html;124;Sanofi;3.6
Avantages : Une organisation importante/une forte présence géographique Inconvénients : Réactivité lente/pas des premiers à bouger;J'ai travaillé chez Sanofi à temps plein plus d'un an;Employé actuel - Employé anonyme;Lyon;5;13704-AVIS-SOC-GLASSDOOR-E9347_P2.html;125;Sanofi;3.6
Avantages : Bon salaire, bonne cantine, site très agréable Inconvénients : Le job est peu varié car l'entreprise est très cloisonnée.;Je travaille chez Sanofi Pasteur à temps plein depuis plus de 5 ans;Employé actuel - Responsable qualité;;4;13705-AVIS-SOC-GLASSDOOR-E2762239_P1.html;126;Sanofi Pasteur;4.0
Avantages : La meilleure chose est sans nul doute les gens avec lesquels je travaille quotidiennement. Pas de problème avec le salaire et les avantages mais ce ne sont pas des facteurs très importants pour moi. Inconvénients : Aucun moyen d'échanger avec la direction. Je me sens comme un très petit poisson dans une très grande mare. La bureaucratie mécaniste rend difficile l'adaptation à un marché changeant.;Je travaille chez Merial à temps plein depuis plus de 5 ans;Employé actuel - Anonymous;Toulouse;3;13706-AVIS-SOC-GLASSDOOR-E19928_P1.html;127;Merial;4.0
Avantages : de nombreux avantages liés à une super convention collective (congés, intéressement, primes...) , un environnement de travail moderne et motivant, une culture d'entreprise dynamique et tournée vers l'innovation, de nombreuses possibilités de mobilités Inconvénients : des outils pas toujours à la hauteur des ambitions, une organisation en interne trop complexe;Je travaille chez Groupe Crédit Agricole à temps plein depuis plus d'un an;Employé actuel - Analyste en pilotage;Toulouse;5;13708-AVIS-SOC-GLASSDOOR-E4252_P1.html;128;Groupe Crédit Agricole;3.8
NULL NULL;Je travaille chez Groupe Crédit Agricole à temps plein depuis moins d'un an;Employé actuel - Conseiller commercial;Auxerre;4;13708-AVIS-SOC-GLASSDOOR-E4252_P2.html;129;Groupe Crédit Agricole;3.8
Avantages : j'en vois pas!!! a part boire du champagne dans les salons st congrès clients!!!! Inconvénients : Une boîte de copains! ne pas confondre fidélité et copinage! aucune politique RH! croissance par rachat successif! pas de projet collectif! une boîte qui n'a pas d'âme ,pas d'identité!;Je travaille chez CEGID à temps plein depuis plus d'un an;Employé actuel - Cadre commercial;Lille;1;13563-AVIS-SOC-GLASSDOOR-E13082_P1.html;13;CEGID;2.7
Avantages : beaucoup d'avantages ( salaire, déplacements..) si et seulement si on est pistonné! Inconvénients : une banque qui manque cruellement de bons profils! un département Rh nullissime et un social presque inexistant! un management absent et sans efficacité. une multitude de postes de responsabilité et d'avantages financiers attribués à des profils sans mérite! Une hiérarchie qui ne motive pas ses collaborateurs!;Je travaille chez Groupe Crédit Agricole du Maroc à temps plein depuis plus de 8 ans;Employé actuel - chef de département;Settat;1;13709-AVIS-SOC-GLASSDOOR-E1365869_P1.html;130;Groupe Crédit Agricole du Maroc;3.3
Avantages : Bien encadre lors de mon stage Appris enormement Collegues tres sympas Inconvénients : Ils ne recrutent pas assez de stagiaires;J'ai travaillé chez Groupe Crédit Agricole du Maroc à;;Rabat;3;13709-AVIS-SOC-GLASSDOOR-E1365869_P2.html;131;Groupe Crédit Agricole du Maroc;3.3
NULL NULL;Je travaille chez CACIB à temps plein depuis plus de 3 ans;Employé actuel - Contrôleur de produit;Montrouge;5;13710-AVIS-SOC-GLASSDOOR-E476908_P1.html;132;CACIB;3.5
Avantages : comité d'entreprise (voyages et réductions sur les places de cinéma, etc.), plan d'épargne d'entreprise Inconvénients : Mauvaise gestion, la direction centrale est organisée en pyramide, impossible d'y accéder. RH inexistante;Je travaille chez CACIB à temps plein depuis plus de 5 ans;Employé actuel - Analyste KYC;Montrouge;2;13710-AVIS-SOC-GLASSDOOR-E476908_P2.html;133;CACIB;3.5
Avantages : J’y effectue mon alternance en RH. Je recommencerais cette entreprise pour l’esprit d’équipe et le sens du service client. Il existe une réelle volonté de soutenir et d’aider les collaborateurs du réseau. L’offre de formation est très importante, surtout pour les managers : l’entreprise souhaite voir changer ses modes de management vers un management bienveillant et met les moyens pour y arriver ! Je suis fière...de travailler dans cette entreprise.Dérouler Inconvénients : Charge de travail très importante Pas d’embauche pour les CDD (y compris alternants) dans les fonctions support;Je travaille chez Crédit Agricole d'Ile de France à temps plein depuis plus d'un an;Employé actuel - Chargé de projet rh - alternance;Rungis;4;13711-AVIS-SOC-GLASSDOOR-E3043501_P1.html;134;Crédit Agricole d'Ile de France;3.5
Avantages : Beaucoup de congés et très bon parcours de formation avec de grandes écoles. Inconvénients : Le salaire trop bas. Trop traditionnelle.;J'ai travaillé chez Crédit Agricole d'Aquitaine à temps plein;Ancien employé - Employé anonyme;;3;13712-AVIS-SOC-GLASSDOOR-E3041003_P1.html;135;Crédit Agricole d'Aquitaine;3.4
Avantages : 13 mois et intéressement Inconvénients : Évolution de poste extrêmement lente Pression commerciale (toujours plus de vente) Manque d’empathie de la direction;Je travaille chez Crédit Agricole à temps plein depuis plus de 3 ans;Employé actuel - Conseiller commercial;Coutances;2;13713-AVIS-SOC-GLASSDOOR-E3142186_P1.html;136;Crédit Agricole;0.0
Avantages : Bonne ambiance en général Inconvénients : Visibilité moyenne, évolution plutôt faible;J'ai travaillé chez Lectra à temps plein plus d'un an;Ancien employé - Anonymous;Paris;3;13714-AVIS-SOC-GLASSDOOR-E10777_P1.html;137;Lectra;3.5
Avantages : la situation des locaux français est agréable. Inconvénients : pas de télétravail à l'ordre du jour;J'ai travaillé chez Lectra à temps plein;Ancien employé - Employé anonyme;Grenoble;2;13714-AVIS-SOC-GLASSDOOR-E10777_P2.html;138;Lectra;3.5
Avantages : Ambiance des équipes et entraide Inconvénients : tout le reste et encore plus encore;J'ai travaillé chez Sopra Steria à temps plein plus de 3 ans;Ancien employé - Lead Technique;;3;13716-AVIS-SOC-GLASSDOOR-E466295_P1.html;139;Sopra Steria;3.4
Avantages : Une société leader du marché Inconvénients : manque de reconnaissance par les managers;Je travaille chez CEGID à temps plein depuis plus de 8 ans;Employé actuel - Consultant fonctionnel;Aix;3;13563-AVIS-SOC-GLASSDOOR-E13082_P2.html;14;CEGID;2.7
Avantages : Autonomie totale en mission Missions dans de grandes entreprises et projets de grande envergure Inconvénients : Management absent & suivi inexistant Peu d’effort dans la cohésion des équipes Dialogue avec la direction impossible en cas de désaccord;Je travaille chez Sopra Steria à temps plein depuis plus de 8 ans;Employé actuel - Junior Consultant;Paris;5;13716-AVIS-SOC-GLASSDOOR-E466295_P2.html;140;Sopra Steria;3.4
Avantages : Ambiance conviviale Avantages Mutuelle, CE Possibilité d'évolution interne Inconvénients : Salaire Non augmentation Discrimination au niveau de l'âge;Je travaille chez Sopra Steria Recruitment à temps partiel;Employé actuel - Employé anonyme;;4;13717-AVIS-SOC-GLASSDOOR-E1187250_P1.html;141;Sopra Steria Recruitment;4.0
Avantages : L'agence d'Aix-en-Provence de CITECH m'a très bien accueilli. J'ai été accompagné lors de la préparation des entretiens, lors de ces mêmes entretiens et également tout au long de ma mission grâce à des suivis réguliers. J'ai beaucoup apprécié d'avoir été soutenu et d'avoir eu une certaine liberté. Inconvénients : La société n'as malheureusement pas de CE.;J'ai travaillé chez CITECH à temps plein plus d'un an;Ancien employé - Ingénieur Développement Logiciel;Montpellier;4;13718-AVIS-SOC-GLASSDOOR-E1881876_P1.html;142;CITECH;4.6
Avantages : Aide de pôle emploi si on n'a pas droit au chômage (entre 300 et 400€/ mois) Inconvénients : Formation de mauvaise qualité : le formateur nous dit tout et son contraire, n'est pas impliqué, les 'cours' flou et peu expliqué. Quand un ou deux élèves ne comprennent pas, on peut pensé que le pb vient des élèves, quand plus de la moitié de comprend pas... heureusement, nous avons trouvé de bonnes ressources sur internet, et les deux personnes (élèves) ayant des bases en programmation ont pris le temps...d'expliquer aux autres. Pour ce qui est de la communication avec les RH, ils faut quémander sans cesse les informations, relancer plusieurs fois pour espérer avoir une réponse. Le temps est consacré au recrutement, mais une fois que l'on rentre chez adaming, la musique n'est plus la même, et les personnes qui paraissaient à l'écoute et disponibles ne le sont plus du tout. Enfin il n'y a aucune volonté de résoudre les pb : nous avons fait des retours réguliers sur les difficultés rencontrées avec le formateur et aucune solution n'a été trouvé. J'ai pu observer les mêmes difficultés au sein des autres promotions en formation en même temps que nous. J'ai vu également plusieurs personnes se retrouver sans entreprises à la fin de leur formation et attendre dans les locaux. Alors que les autres avis semblent décrire une formation exceptionnelle, je ne comprends pas que toutes les formations ne soient pas de cette qualité. A moins que ces avis ne soient pas le reflet de la réalité ? Je ne parlerai même pas des salaires ridiculement bas par rapport au marché.Dérouler;J'ai travaillé chez Group Adaming à temps plein moins d'un an;Ancien employé - Ingénieur Étude Et Développement;Tunis;5;13722-AVIS-SOC-GLASSDOOR-E1256638_P1.html;143;Group Adaming;3.1
Avantages : Cette entreprise aide à s'insérer dans le domaine de l'informatique en proposant une formation Java JEE . Inconvénients : Pas de suivi de ses consultants.;J'ai travaillé chez Group Adaming à temps plein plus d'un an;Ancien employé - Development Engineer;Lyon;2;13722-AVIS-SOC-GLASSDOOR-E1256638_P2.html;144;Group Adaming;3.1
Avantages : Suivi de proximité avec les managers Bonne ambiance entre collègues Inconvénients : Que des missions régie La sensation d’appartenance pourrait être encore améliorée;Je travaille chez Micropole à temps plein depuis plus de 3 ans;Employé actuel - Chef De Projet;Lille;2;13723-AVIS-SOC-GLASSDOOR-E373493_P1.html;145;Micropole;3.2
Avantages : lieu, locaux, soiree entreprise, formation anglais Inconvénients : manque de communication , distance des managers;J'ai travaillé chez Micropole à temps plein plus de 3 ans;Ancien employé - Manager;Paris;2;13723-AVIS-SOC-GLASSDOOR-E373493_P2.html;146;Micropole;3.2
Avantages : RTT , les Tickes restaurant , une bonne mutuelle Inconvénients : Qualité des personnes recruté dernièrement;J'ai travaillé chez alptis assurances à temps plein plus d'un an;Ancien employé - Télé Conseiller;Lyon;4;13724-AVIS-SOC-GLASSDOOR-E1126011_P1.html;147;alptis assurances;3.4
Avantages : Bons avantages et bonne ambiance Les collaborateurs sont bienveillants Inconvénients : Hiérarchie trop présente freine la prise de décisions;Je travaille chez Plastic Omnium à temps plein depuis plus d'un an;Employé actuel - manager/responsable d'équipe;Fontaine, Belfort, Franche-Comté;5;13725-AVIS-SOC-GLASSDOOR-E10842_P1.html;148;Plastic Omnium;3.5
NULL NULL;Je travaille chez Plastic Omnium à temps plein depuis plus d'un an;Employé actuel - Ingénieur simulation;Bruxelles;1;13725-AVIS-SOC-GLASSDOOR-E10842_P2.html;149;Plastic Omnium;3.5
Avantages : Travail d'équipe et des opportunités de développement personnel. Inconvénients : Environnement exigeant avec de constants changements.;J'ai travaillé chez Bayer à temps plein moins d'un an;Ancien employé - Anonymous;Lyon;2;13564-AVIS-SOC-GLASSDOOR-E4245_P1.html;15;Bayer;3.9
Avantages : Ambiance, projets et la proximité avec la production Inconvénients : Le contexte qui s'est retrouvé perturbé;J'ai travaillé chez Mixt Composites Recyclables à temps plein plus d'un an;Ancien employé - Employé anonyme;;4;13727-AVIS-SOC-GLASSDOOR-E1261010_P1.html;150;Mixt Composites Recyclables;4.0
Avantages : Le CE est pas mal. Inconvénients : Des ambitions pour développer de nouveaux horizons, mais n'y mettent pas les moyens. Pas (peu) à l'écoute des souhaits du collaborateur.;J'ai travaillé chez Astek à temps plein moins d'un an;Ancien employé - Chef De Projet;Tours, Centre;4;13728-AVIS-SOC-GLASSDOOR-E200717_P1.html;151;Astek;2.9
Avantages : En plus de proposer les avantages classiques d'une assez grande SSII pour ses consultants, Astek (à Paris) semble mettre l'accent sur le recrutement de managers humains qui suivent autant que faire se peut leurs équipes. Surprenamment transparents et bienveillants, je n'y croyais plus mais ils existent ! Inconvénients : L'entreprise étant en pleine croissance, les managers ne sont pas toujours très disponibles pour leurs équipes, mais même ça c'est au dessus de la moyenne des SSII parce que j'ai vraiment eu l'impression que les managers faisaient leur possible pour être à l'écoute chez Astek, chose que je n'ai ressentie nulle part ailleurs.;J'ai travaillé chez Astek à temps plein plus d'un an;Ancien employé - Ingénieur Consultant Junior;Nice;5;13728-AVIS-SOC-GLASSDOOR-E200717_P2.html;152;Astek;2.9
Avantages : Pas de vraie bonne raison. Les bonnes raisons seraient si vous vous vouliez bavarder toute la journée et fumer à la pause café. Inconvénients : Si vous ne négociez pas un bon salaire dès le début, vous êtes bloqué avec jusqu'à la fin. Vous n'avez jamais d'augmentation ou alors il vous faut menacer de partir pour en avoir une. Pas de progression dans la carrière. Ils vous promettent des choses à l'oral puis trouvent des excuses pour les rendre caduques. Assurez-vous que vous avez par écrit tout ce dont vous avez parlé, autrement vous vous ferez avoir. Quand...vous exprimez votre mécontentement, ils n'écoutent pas.Dérouler;Je travaille chez Astek Group à temps plein depuis plus de 3 ans;Employé actuel - Anonymous;Biot, Provence-Alpes-Côte d'Azur;1;13729-AVIS-SOC-GLASSDOOR-E234791_P1.html;153;Astek Group;1.7
NULL NULL;Je travaille chez Keyrus Group à temps plein;Employé actuel - Consultant Confirmé;Levallois-Perret;2;13732-AVIS-SOC-GLASSDOOR-E158808_P1.html;154;Keyrus Group;4.0
Avantages : Pour les confirmés un salaire attrayant, une image extérieure waaaaaaw! Inconvénients : A l'intérieur, un vrai panier de crabes. Des commerciaux virés du jour au lendemain sans vraiment comprendre pourquoi. Aucune stratégie long terme. Des consultants isolés, en intercontras depuis des mois. De fausses valeurs, de vrais problèmes en internes entre les BU/Offres. Le commerce est considéré pour le responsable de tout les maux sans raison réelle. Je déconseille très fortement, sauf si vous avez...envie d'une relation 'SM' avec votre employeur...Dérouler;J'ai travaillé chez Keyrus Group à temps plein plus de 3 ans;Ancien employé - Senior Consultant;Lyon;3;13732-AVIS-SOC-GLASSDOOR-E158808_P2.html;155;Keyrus Group;4.0
Avantages : mobilité du job surtout le soir Inconvénients : trop de travail et partage de données;Je travaille chez Yongzhi Plastic Electronics (Shenzhen) Co. à;;;3;13733-AVIS-SOC-GLASSDOOR-E852040_P1.html;156;Yongzhi Plastic Electronics (Shenzhen) Co.;3.0
NULL NULL;Je travaille chez Thales à temps plein depuis plus de 3 ans;Ancien employé - Apprenti-ingénieur qualité;Vendôme, Centre;5;13734-AVIS-SOC-GLASSDOOR-E10358_P1.html;157;Thales;4.1
NULL NULL;J'ai travaillé chez Thales à temps plein plus de 3 ans;Employé actuel - R&D Manager;Cholet;4;13734-AVIS-SOC-GLASSDOOR-E10358_P2.html;158;Thales;4.1
Avantages : Ambiance multi-culturelle, responsabilités, CE, rencontre clients Inconvénients : Ambiance générale, complexité du programme, évolution et proposition lié à l'aspect politique;Je travaille chez Thales-Raytheon Systems à temps plein depuis plus d'un an;Employé actuel - Ingénieur Apprenti;Massy, Île-de-France;4;13736-AVIS-SOC-GLASSDOOR-E410527_P1.html;159;Thales-Raytheon Systems;3.0
Avantages : très bonne entreprise belle expérience bonne ambiance si c’était à refaire je le referai Inconvénients : Trop de changement dans l'entreprise;J'ai travaillé chez Bayer à temps plein plus de 10 ans;Ancien employé - assistant achats;Loos;5;13564-AVIS-SOC-GLASSDOOR-E4245_P2.html;16;Bayer;3.9
Avantages : Bien accueilli Travail intéressant Bonne entente au sein de l'équipe Inconvénients : Rien à redire sur les conditions de travail;J'ai travaillé chez L&T Thales Technology Services à;Ancien stagiaire - Stagiaire anonyme;;5;13737-AVIS-SOC-GLASSDOOR-E2947949_P1.html;160;L&T Thales Technology Services;3.5
Avantages : - Une politique de formation avantageuse - Management très accessible - Des projets internes innovants au smartlab (blockchain, machine learning) Inconvénients : Léger manque d'organisation pour les nouveaux entrants, il faut faire sa place;Je travaille chez JEMS Group à temps partiel depuis plus d'un an;Employé actuel - Chargée De Recrutement;Neuilly;3;13741-AVIS-SOC-GLASSDOOR-E1132227_P1.html;161;JEMS Group;4.3
Avantages : salaire motivante, communication ouverte avec les hiérarchies, formations sur les nouvelles technologies suivi continu avec ton commercial(déjeuné tout les 2 mois max) et les Afterworks chaque 3 mois permet la communication avec tous les collègue de Jems et avec les responsable et aussi et les personnel de RH si vous aurez des questions a posé c l'occasion. - salaire versé max le 28 de chaque mois. -assurance...maladie 100% - prime caque année.Dérouler Inconvénients : - y a pas trop de convention avec les lieux de loisir comme Disney land -des convention avec les restaux chez les client notamment la Société Genaral;Je travaille chez JEMS Group à temps plein depuis plus d'un an;Employé actuel - Senior Consultant;;4;13741-AVIS-SOC-GLASSDOOR-E1132227_P2.html;162;JEMS Group;4.3
Avantages : beaucoup d'avantaes, salaire education primes voyage Inconvénients : evolution faible, management local n'est pas bon,;Je travaille chez Capgemini à temps plein depuis moins d'un an;Employé actuel - Admin it;Casablanca;2;13745-AVIS-SOC-GLASSDOOR-E3803_P1.html;163;Capgemini;3.6
Avantages : ticket restaurant, cinema, sport, bonne ambiance, Inconvénients : Le salaire est proche de la moyenne.;Je travaille chez Capgemini à temps plein depuis plus de 5 ans;Employé actuel - Infrastructure Consultant;Blagnac;5;13745-AVIS-SOC-GLASSDOOR-E3803_P2.html;164;Capgemini;3.6
Avantages : Liberté, humilité, bienveillance, effort sur la formation et la valorisation des consultants Inconvénients : Peu d'esprit de corps, rémunération un peu en dessous du marché;Je travaille chez Capgemini Invent à temps plein depuis plus d'un an;Employé actuel - Learning Business Partner;Paris;1;13746-AVIS-SOC-GLASSDOOR-E589990_P1.html;165;Capgemini Invent;4.0
